Type,Route,ArrivalTimes,DepartureTimes,LoadWeights,LoadVolumes,TotalCost,StartCost,EnergyCost,CarbonCost,TimePenalty
F1,0-76-16-37-85-88-87-94-93-97-90-19-0,"9.06,9.75,10.95,12.40,13.85,16.06,17.27,18.28,19.24,21.10,22.39,26.26","9.40,10.08,11.29,12.73,14.18,16.39,17.60,18.61,19.58,21.43,22.72,26.59","2994.5,2994.5,2994.5,2994.5,2994.5,2994.5,2994.5,2994.5,2994.5,2994.5,2994.5,2994.5","9.071,9.071,9.071,9.071,9.071,9.071,9.071,9.071,9.071,9.071,9.071,9.071",3224.57,400.0,1218.86,265.16,1340.55
E1,0-66-95-26-89-0,"9.36,10.39,10.84,12.05,14.79","9.69,10.72,11.18,12.39,15.13","2992.4,2992.4,2992.4,2992.4,2992.4","9.387,9.387,9.387,9.387,9.387",813.37,400.0,125.53,24.93,262.91
F2,0-35-0,"10.95,14.23","11.28,14.57","1692.6,1692.6","3.884,3.884",1004.13,400.0,492.79,107.21,4.14
E2,0-79-0,"10.01,12.35","10.34,12.68","2315.1,2315.1","7.367,7.367",510.65,400.0,92.32,18.33,0.0
F3,0-9-0,"9.14,10.62","9.48,10.95","2506.7,2506.7","6.651,6.651",651.49,400.0,190.82,41.51,19.16
F1,0-86-38-33-30-3-91-2-0,"8.78,10.98,12.24,13.69,15.28,16.58,18.14,19.55","9.12,11.32,12.57,14.02,15.61,16.91,18.47,19.89","2977.1,2977.1,2977.1,2977.1,2977.1,2977.1,2977.1,2977.1","10.165,10.165,10.165,10.165,10.165,10.165,10.165,10.165",1401.31,400.0,770.2,167.56,63.55
E1,0-42-0,"9.77,11.87","10.10,12.20","6341.8,6341.8","15.027,15.027",506.71,400.0,81.25,16.13,9.32
F2,0-60-0,"8.52,9.37","8.85,9.70","9906.6,9906.6","26.018,26.018",542.87,400.0,86.72,18.87,37.29
E2,0-8-0,"8.93,10.20","9.27,10.53","11749.6,11749.6","36.027,36.027",489.08,400.0,42.89,8.52,37.67
F3,0-46-0,"9.84,12.02","10.18,12.35","3319.8,3319.8","10.887,10.887",801.83,400.0,307.72,66.94,27.16
F1,0-59-0,"10.32,12.97","10.65,13.30","8807.4,8807.4","23.245,23.245",890.29,400.0,387.38,84.27,18.63
E1,0-11-82-98-0,"9.62,10.69,12.67,16.04","9.95,11.02,13.00,16.37","2844.1,2844.1,2844.1,2844.1","9.101,9.101,9.101,9.101",783.59,400.0,161.71,32.11,189.76
F2,0-70-0,"11.40,15.13","11.73,15.46","5674.7,5674.7","16.366,16.366",1095.03,400.0,567.5,123.46,4.07
E2,0-6-0,"9.15,10.63","9.48,10.96","4473.6,4473.6","11.983,11.983",515.63,400.0,52.78,10.48,52.37
F3,0-13-32-0,"9.17,11.10,13.98","9.50,11.44,14.32","982.4,982.4,982.4","2.404,2.404,2.404",1041.21,400.0,444.07,96.61,100.53
F1,0-61-0,"9.61,11.55","9.94,11.88","6014.1,6014.1","18.405,18.405",780.62,400.0,268.66,58.45,53.51
E1,0-41-0,"9.58,11.50","9.92,11.83","2786.4,2786.4","7.852,7.852",548.2,400.0,72.74,14.44,61.02
F2,0-7-0,"9.76,11.85","10.09,12.18","7463.2,7463.2","18.234,18.234",815.97,400.0,293.58,63.87,58.52
E2,0-49-0,"8.47,9.28","8.81,9.61","4486.8,4486.8","13.539,13.539",518.59,400.0,21.72,4.31,92.55
F3,0-74-0,"9.86,12.05","10.19,12.39","3726.0,3726.0","10.939,10.939",844.8,400.0,310.73,67.6,66.47
F1,0-73-0,"10.05,12.44","10.39,12.77","2996.5,2996.5","7.546,7.546",884.1,400.0,343.19,74.66,66.25
E1,0-83-92-80-0,"8.26,9.14,10.28,12.05","8.59,9.47,10.61,12.38","2957.7,2957.7,2957.7,2957.7","8.516,8.516,8.516,8.516",855.8,400.0,70.04,13.91,371.85
F2,0-56-0,"10.27,12.88","10.61,13.21","7065.2,7065.2","17.729,17.729",933.53,400.0,379.71,82.61,71.21
E2,0-39-0,"10.74,13.82","11.08,14.15","4024.9,4024.9","10.007,10.007",618.93,400.0,126.08,25.04,67.82
F3,0-64-0,"9.37,11.07","9.70,11.41","8849.8,8849.8","21.387,21.387",774.17,400.0,228.78,49.77,95.61
F1,0-58-0,"9.67,11.68","10.01,12.01","2934.0,2934.0","9.728,9.728",832.85,400.0,279.5,60.81,92.54
E1,0-75-0,"9.93,12.20","10.27,12.54","3017.4,3017.4","7.858,7.858",596.23,400.0,88.92,17.66,89.65
F2,0-57-0,"8.85,10.04","9.19,10.37","6609.7,6609.7","16.915,16.915",688.93,400.0,142.33,30.96,115.63
E2,0-12-0,"8.98,10.29","9.31,10.62","1726.8,1726.8","4.400,4.400",572.67,400.0,44.97,8.93,118.77
F3,0-52-0,"10.52,13.37","10.85,13.70","6715.4,6715.4","17.089,17.089",1003.28,400.0,420.47,91.47,91.33
F1,0-36-0,"9.56,11.46","9.90,11.80","3309.3,3309.3","10.308,10.308",832.28,400.0,261.38,56.86,114.05
E1,0-45-0,"9.20,10.73","9.53,11.06","5799.9,5799.9","18.413,18.413",594.33,400.0,55.01,10.92,128.4
F2,0-69-0,"9.66,11.65","9.99,11.99","2288.9,2288.9","6.064,6.064",859.81,400.0,277.34,60.34,122.13
E2,0-63-0,"9.33,11.00","9.67,11.33","8693.0,8693.0","23.778,23.778",604.11,400.0,61.27,12.17,130.68
F3,0-65-0,"9.23,10.79","9.56,11.12","6552.6,6552.6","14.764,14.764",784.07,400.0,205.01,44.6,134.46
F1,0-48-0,"9.01,10.35","9.34,10.69","8598.7,8598.7","19.549,19.549",747.39,400.0,168.87,36.74,141.79
E1,0-84-24-0,"10.95,12.09,13.76","11.28,12.43,14.09","2867.4,2867.4,2867.4","7.324,7.324,7.324",741.12,400.0,116.98,23.23,200.92
F2,0-25-0,"8.95,10.24","9.29,10.57","2528.1,2528.1","5.338,5.338",741.16,400.0,159.25,34.64,147.27
E2,0-31-0,"9.49,11.31","9.82,11.64","6771.6,6771.6","15.445,15.445",628.5,400.0,68.32,13.57,146.61
F3,0-43-0,"9.09,10.51","9.42,10.85","5061.6,5061.6","13.617,13.617",777.61,400.0,182.13,39.62,155.87
F1,0-44-0,"9.31,10.95","9.64,11.29","4552.3,4552.3","11.624,11.624",820.57,400.0,218.83,47.61,154.14
E1,0-81-29-34-0,"9.60,12.52,15.03,16.75","9.94,12.85,15.37,17.09","2581.6,2581.6,2581.6,2581.6","7.217,7.217,7.217,7.217",942.86,400.0,178.25,35.39,329.22
F2,0-54-0,"10.71,13.76","11.05,14.10","7418.7,7418.7","19.673,19.673",1084.64,400.0,453.59,98.68,132.37
E2,0-51-0,"9.13,10.59","9.46,10.92","3408.4,3408.4","9.759,9.759",630.53,400.0,51.78,10.28,168.48
F3,0-27-0,"10.21,12.76","10.55,13.10","3233.6,3233.6","7.640,7.640",1003.25,400.0,370.05,80.5,152.7
F1,0-40-0,"9.54,11.41","9.87,11.74","2691.1,2691.1","7.951,7.951",879.44,400.0,256.96,55.9,166.57
E1,0-55-0,"9.87,12.06","10.20,12.40","12197.6,12197.6","30.798,30.798",663.82,400.0,85.77,17.03,161.02
F2,0-53-0,"8.59,9.50","8.92,9.84","6963.8,6963.8","18.759,18.759",707.0,400.0,97.76,21.27,187.96
E2,0-68-0,"9.44,11.21","9.77,11.54","7415.0,7415.0","17.433,17.433",660.79,400.0,66.09,13.12,181.58
F3,0-67-0,"9.44,11.21","9.77,11.55","2860.4,2860.4","8.925,8.925",881.35,400.0,240.49,52.32,188.55
F1,0-47-0,"8.47,9.27","8.80,9.60","2784.5,2784.5","8.096,8.096",703.99,400.0,78.02,16.97,208.99
F2,0-62-0,"9.38,11.09","9.71,11.43","8804.3,8804.3","25.128,25.128",876.92,400.0,230.68,50.19,196.05
E2,0-72-0,"9.17,10.68","9.51,11.01","2725.3,2725.3","7.501,7.501",665.52,400.0,53.94,10.71,200.87
F3,0-71-0,"10.11,12.55","10.44,12.89","3067.1,3067.1","10.044,10.044",1013.4,400.0,352.57,76.7,184.13
